chart,panel,panel_order,row_label,row_order,column_label,column_order,category,category_order,count,share,secondary,mark_label
Agency Topics,,,TVA (59),1,Science,1,,,0,0,59,
Agency Topics,,,TVA (59),1,Admin,2,,,4,0.06779661016949153,59,4
Agency Topics,,,TVA (59),1,IT,3,,,11,0.1864406779661017,59,11
Agency Topics,,,TVA (59),1,Health & Med,4,,,0,0,59,
Agency Topics,,,TVA (59),1,Law Enforce,5,,,0,0,59,
Agency Topics,,,TVA (59),1,Energy & Env,6,,,41,0.6949152542372882,59,41
Agency Topics,,,TVA (59),1,Service Delivery,7,,,0,0,59,
Agency Topics,,,TVA (59),1,Transit,8,,,0,0,59,
Agency Topics,,,TVA (59),1,Procure,9,,,0,0,59,
Agency Topics,,,TVA (59),1,Other,10,,,3,0.05084745762711865,59,3
Agency Topics,,,DOT (70),2,Science,1,,,0,0,70,
Agency Topics,,,DOT (70),2,Admin,2,,,22,0.3142857142857143,70,22
Agency Topics,,,DOT (70),2,IT,3,,,0,0,70,
Agency Topics,,,DOT (70),2,Health & Med,4,,,0,0,70,
Agency Topics,,,DOT (70),2,Law Enforce,5,,,0,0,70,
Agency Topics,,,DOT (70),2,Energy & Env,6,,,0,0,70,
Agency Topics,,,DOT (70),2,Service Delivery,7,,,0,0,70,
Agency Topics,,,DOT (70),2,Transit,8,,,48,0.6857142857142857,70,48
Agency Topics,,,DOT (70),2,Procure,9,,,0,0,70,
Agency Topics,,,DOT (70),2,Other,10,,,0,0,70,
Agency Topics,,,TREAS (118),3,Science,1,,,4,0.03389830508474576,118,4
Agency Topics,,,TREAS (118),3,Admin,2,,,22,0.1864406779661017,118,22
Agency Topics,,,TREAS (118),3,IT,3,,,56,0.4745762711864407,118,56
Agency Topics,,,TREAS (118),3,Health & Med,4,,,0,0,118,
Agency Topics,,,TREAS (118),3,Law Enforce,5,,,0,0,118,
Agency Topics,,,TREAS (118),3,Energy & Env,6,,,0,0,118,
