"chart","panel","panel_order","row_label","row_order","column_label","column_order","category","category_order","count","share","secondary","mark_label"
"Make or Buy","All",1,"All agencies  (1,444)",1,,,"Purchased from a vendor",1,552,0.382271468144044,1444,"38%"
"Make or Buy","All",1,"All agencies  (1,444)",1,,,"Vendor and in-house",2,387,0.268005540166205,1444,"27%"
"Make or Buy","All",1,"All agencies  (1,444)",1,,,"Built in-house",3,505,0.349722991689751,1444,"35%"
"Make or Buy","By type of AI",2,"Classical ML  (516)",1,,,"Purchased from a vendor",1,147,0.284883720930233,516,"28%"
"Make or Buy","By type of AI",2,"Classical ML  (516)",1,,,"Vendor and in-house",2,105,0.203488372093023,516,"20%"
"Make or Buy","By type of AI",2,"Classical ML  (516)",1,,,"Built in-house",3,264,0.511627906976744,516,"51%"
"Make or Buy","By type of AI",2,"Computer Vision  (189)",5,,,"Purchased from a vendor",1,128,0.677248677248677,189,"68%"
"Make or Buy","By type of AI",2,"Computer Vision  (189)",5,,,"Vendor and in-house",2,36,0.19047619047619,189,"19%"
"Make or Buy","By type of AI",2,"Computer Vision  (189)",5,,,"Built in-house",3,25,0.132275132275132,189,"13%"
"Make or Buy","By type of AI",2,"NLP  (254)",3,,,"Purchased from a vendor",1,77,0.303149606299213,254,"30%"
"Make or Buy","By type of AI",2,"NLP  (254)",3,,,"Vendor and in-house",2,82,0.322834645669291,254,"32%"
"Make or Buy","By type of AI",2,"NLP  (254)",3,,,"Built in-house",3,95,0.374015748031496,254,"37%"
"Make or Buy","By type of AI",2,"Generative AI  (396)",4,,,"Purchased from a vendor",1,179,0.452020202020202,396,"45%"
"Make or Buy","By type of AI",2,"Generative AI  (396)",4,,,"Vendor and in-house",2,127,0.320707070707071,396,"32%"
"Make or Buy","By type of AI",2,"Generative AI  (396)",4,,,"Built in-house",3,90,0.227272727272727,396,"23%"
"Make or Buy","By type of AI",2,"Agentic AI  (38)",2,,,"Purchased from a vendor",1,10,0.263157894736842,38,"26%"
"Make or Buy","By type of AI",2,"Agentic AI  (38)",2,,,"Vendor and in-house",2,13,0.342105263157895,38,"34%"
"Make or Buy","By type of AI",2,"Agentic AI  (38)",2,,,"Built in-house",3,15,0.394736842105263,38,"39%"
"Make or Buy","By agency (20+ cases)",3,"DHS  (118)",12,,,"Purchased from a vendor",1,44,0.372881355932203,118,"37%"
"Make or Buy","By agency (20+ cases)",3,"DHS  (118)",12,,,"Vendor and in-house",2,51,0.432203389830508,118,"43%"
"Make or Buy","By agency (20+ cases)",3,"DHS  (118)",12,,,"Built in-house",3,23,0.194915254237288,118,"19%"
"Make or Buy","By agency (20+ cases)",3,"DOE  (176)",10,,,"Purchased from a vendor",1,78,0.443181818181818,176,"44%"
"Make or Buy","By agency (20+ cases)",3,"DOE  (176)",10,,,"Vendor and in-house",2,49,0.278409090909091,176,"28%"
"Make or Buy","By agency (20+ cases)",3,"DOE  (176)",10,,,"Built in-house",3,49,0.278409090909091,176,"28%"
"Make or Buy","By agency (20+ cases)",3,"DOI  (129)",3,,,"Purchased from a vendor",1,14,0.108527131782946,129,"11%"
"Make or Buy","By agency (20+ cases)",3,"DOI  (129)",3,,,"Vendor and in-house",2,7,0.0542635658914729,129,""
"Make or Buy","By agency (20+ cases)",3,"DOI  (129)",3,,,"Built in-house",3,108,0.837209302325581,129,"84%"
"Make or Buy","By agency (20+ cases)",3,"DOJ  (188)",14,,,"Purchased from a vendor",1,153,0.813829787234043,188,"81%"
"Make or Buy","By agency (20+ cases)",3,"DOJ  (188)",14,,,"Vendor and in-house",2,21,0.111702127659574,188,"11%"
"Make or Buy","By agency (20+ cases)",3,"DOJ  (188)",14,,,"Built in-house",3,14,0.074468085106383,188,""
"Make or Buy","By agency (20+ cases)",3,"DOL  (23)",5,,,"Purchased from a vendor",1,3,0.130434782608696,23,"13%"
"Make or Buy","By agency (20+ cases)",3,"DOL  (23)",5,,,"Vendor and in-house",2,8,0.347826086956522,23,"35%"
"Make or Buy","By agency (20+ cases)",3,"DOL  (23)",5,,,"Built in-house",3,12,0.521739130434783,23,"52%"
"Make or Buy","By agency (20+ cases)",3,"FRB  (23)",1,,,"Purchased from a vendor",1,2,0.0869565217391304,23,""
"Make or Buy","By agency (20+ cases)",3,"FRB  (23)",1,,,"Vendor and in-house",2,0,0,23,""
"Make or Buy","By agency (20+ cases)",3,"FRB  (23)",1,,,"Built in-house",3,21,0.91304347826087,23,"91%"
"Make or Buy","By agency (20+ cases)",3,"HHS  (255)",8,,,"Purchased from a vendor",1,51,0.2,255,"20%"
"Make or Buy","By agency (20+ cases)",3,"HHS  (255)",8,,,"Vendor and in-house",2,123,0.482352941176471,255,"48%"
"Make or Buy","By agency (20+ cases)",3,"HHS  (255)",8,,,"Built in-house",3,81,0.317647058823529,255,"32%"
"Make or Buy","By agency (20+ cases)",3,"NASA  (47)",2,,,"Purchased from a vendor",1,1,0.0212765957446809,47,""
"Make or Buy","By agency (20+ cases)",3,"NASA  (47)",2,,,"Vendor and in-house",2,5,0.106382978723404,47,"11%"
"Make or Buy","By agency (20+ cases)",3,"NASA  (47)",2,,,"Built in-house",3,41,0.872340425531915,47,"87%"
"Make or Buy","By agency (20+ cases)",3,"SEC  (25)",11,,,"Purchased from a vendor",1,8,0.32,25,"32%"
"Make or Buy","By agency (20+ cases)",3,"SEC  (25)",11,,,"Vendor and in-house",2,12,0.48,25,"48%"
